customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-0020,Female,0,No,No,50,Yes,Yes,No,No internet service,No,Month-to-month,Yes,Credit card,101.87,4593.15,Yes
CUST-0021,Male,0,No,No,19,Yes,No,Fiber optic,No internet service,No internet service,One year,Yes,Bank transfer,76.22,1358.5,Yes
CUST-0022,Female,1,No,No,69,Yes,No,Fiber optic,No internet service,No,Month-to-month,Yes,Bank transfer,42.88,3219.65,Yes
CUST-0023,Female,1,No,Yes,66,Yes,Yes,Fiber optic,No internet service,No,Month-to-month,No,Mailed check,84.12,5575.4,Yes
CUST-0024,Female,0,Yes,No,47,Yes,Yes,DSL,Yes,No,Month-to-month,Yes,Mailed check,88.99,4598.46,Yes
CUST-0025,Female,0,Yes,Yes,39,Yes,No,Fiber optic,No internet service,No,Month-to-month,Yes,Mailed check,19.07,747.42,Yes
CUST-0026,Female,0,Yes,No,68,Yes,Yes,DSL,No,No,Two year,Yes,Credit card,61.92,4247.56,No
CUST-0027,Female,0,Yes,No,33,No,Yes,DSL,No,Yes,Month-to-month,No,Bank transfer,102.33,3303.84,Yes
CUST-0028,Female,0,Yes,Yes,13,Yes,No,Fiber optic,No,No internet service,One year,No,Bank transfer,66.96,837.41,No
CUST-0029,Female,1,Yes,No,54,Yes,Yes,Fiber optic,No internet service,Yes,Month-to-month,No,Electronic check,49.14,2521.7,No
CUST-0030,Male,0,Yes,Yes,7,Yes,Yes,Fiber optic,No,No internet service,Two year,No,Electronic check,105.18,713.2,No
CUST-0031,Male,1,No,No,14,Yes,No phone service,DSL,Yes,No internet service,One year,Yes,Mailed check,33.59,466.48,No
CUST-0032,Female,1,Yes,No,19,Yes,No,No,No internet service,No internet service,One year,No,Credit card,38.64,688.93,No
CUST-0033,Female,0,Yes,No,54,Yes,No phone service,Fiber optic,No,No internet service,Month-to-month,Yes,Mailed check,86.74,4426.23,Yes
CUST-0034,Female,0,No,No,20,Yes,No phone service,Fiber optic,Yes,No internet service,Month-to-month,No,Bank transfer,53.24,1016.15,No
CUST-0035,Male,1,Yes,No,29,Yes,No phone service,Fiber optic,Yes,No,Month-to-month,Yes,Mailed check,89.3,2563.42,Yes
CUST-0036,Female,1,Yes,Yes,24,Yes,Yes,DSL,No,Yes,Two year,Yes,Mailed check,33.77,835.25,No
CUST-0037,Male,0,No,Yes,63,No,Yes,DSL,Yes,Yes,Month-to-month,Yes,Bank transfer,43.23,2917.48,No
CUST-0038,Male,0,Yes,Yes,57,Yes,No phone service,No,No,No,One year,Yes,Bank transfer,33.66,1836.94,No
CUST-0039,Male,0,Yes,Yes,8,Yes,No phone service,Fiber optic,Yes,No internet service,One year,Yes,Bank transfer,113.29,848.99,No
CUST-0040,Male,1,Yes,No,62,Yes,No phone service,DSL,No internet service,Yes,Month-to-month,No,Bank transfer,58.54,3541.54,No
CUST-0041,Male,0,No,No,29,Yes,Yes,No,No internet service,No,One year,Yes,Electronic check,51.72,1618.19,Yes
CUST-0042,Female,0,Yes,No,17,Yes,No phone service,Fiber optic,No internet service,No,One year,Yes,Credit card,19.42,297.78,No
CUST-0043,Female,0,Yes,Yes,66,Yes,No phone service,DSL,No internet service,Yes,One year,Yes,Credit card,33.34,2278.72,No
CUST-0044,Female,0,No,No,6,Yes,No,Fiber optic,No internet service,Yes,Month-to-month,Yes,Bank transfer,60.11,359.01,Yes
CUST-0045,Female,0,Yes,No,58,Yes,No,Fiber optic,No,No internet service,Month-to-month,No,Credit card,24.85,1343.59,Yes
CUST-0046,Female,0,No,Yes,69,Yes,Yes,DSL,No internet service,No internet service,Month-to-month,No,Credit card,69.07,4595.23,Yes
CUST-0047,Male,0,No,No,28,Yes,No,DSL,No internet service,Yes,Two year,Yes,Credit card,63.5,1680.19,No
CUST-0048,Female,0,Yes,No,62,Yes,No,DSL,No internet service,No internet service,One year,Yes,Credit card,94.72,6316.41,No
CUST-0049,Female,0,No,Yes,41,Yes,No,Fiber optic,No internet service,No,Month-to-month,Yes,Bank transfer,83.98,3430.7,Yes
CUST-0050,Male,0,No,No,69,Yes,Yes,Fiber optic,Yes,No internet service,Two year,Yes,Mailed check,62.59,4373.21,No
CUST-0051,Female,1,Yes,No,41,Yes,No,No,No internet service,No internet service,Month-to-month,No,Mailed check,40.47,1690.36,Yes
CUST-0052,Male,0,No,Yes,49,Yes,Yes,Fiber optic,No internet service,No,Two year,No,Mailed check,90.69,4567.9,No
CUST-0053,Female,0,No,No,49,No,No phone service,DSL,No,No internet service,Two year,Yes,Electronic check,88.79,4346.84,No
CUST-0054,Male,1,Yes,No,71,Yes,No,Fiber optic,Yes,No,Two year,Yes,Credit card,33.33,2138.25,No
CUST-0055,Female,0,Yes,No,3,Yes,Yes,No,No,No internet service,Two year,Yes,Bank transfer,109.48,317.58,Yes
CUST-0056,Female,0,Yes,No,10,Yes,No,No,No internet service,Yes,Month-to-month,Yes,Bank transfer,24.44,228.95,Yes
CUST-0057,Male,0,No,No,35,Yes,No phone service,DSL,No,No internet service,Month-to-month,Yes,Electronic check,23.5,852.13,No
CUST-0058,Male,0,Yes,No,2,Yes,Yes,DSL,No,Yes,One year,No,Bank transfer,36.74,66.97,No
CUST-0059,Male,0,No,No,24,No,Yes,No,No internet service,Yes,Month-to-month,No,Mailed check,108.95,2648.17,No
CUST-0060,Male,0,No,Yes,38,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,70.0,2506.06,Yes
CUST-0061,Male,0,No,No,22,Yes,No phone service,No,Yes,Yes,One year,No,Bank transfer,96.79,2320.53,No
CUST-0062,Male,0,No,No,26,Yes,No phone service,DSL,No,Yes,Month-to-month,No,Electronic check,40.78,1025.41,Yes
CUST-0063,Male,0,No,No,43,Yes,No phone service,No,No internet service,No,Two year,No,Electronic check,67.02,2781.12,No
CUST-0064,Male,0,No,Yes,55,Yes,Yes,No,No,No,Two year,Yes,Bank transfer,53.83,3211.35,No
CUST-0065,Female,0,No,No,39,No,No phone service,DSL,No,No,Two year,No,Mailed check,100.78,3865.45,No
CUST-0066,Female,0,Yes,Yes,29,Yes,No,Fiber optic,No,Yes,One year,No,Bank transfer,20.26,641.93,No
CUST-0067,Male,0,Yes,Yes,20,Yes,No phone service,Fiber optic,No internet service,No internet service,Two year,Yes,Credit card,42.38,766.94,No
CUST-0068,Female,1,No,Yes,41,Yes,Yes,No,No internet service,No,Two year,No,Credit card,33.26,1310.84,No
CUST-0069,Female,0,No,No,54,Yes,No,Fiber optic,Yes,No internet service,One year,Yes,Bank transfer,103.92,5798.2,No
CUST-0070,Female,0,Yes,No,20,Yes,No phone service,Fiber optic,No internet service,No internet service,Month-to-month,No,Mailed check,64.75,1396.23,No
CUST-0071,Female,0,No,No,19,Yes,No,Fiber optic,No,Yes,Two year,Yes,Credit card,58.42,1055.9,No
CUST-0072,Male,0,Yes,Yes,66,Yes,No,Fiber optic,No,Yes,Two year,Yes,Credit card,62.95,4512.4,No
CUST-0073,Female,0,Yes,No,30,Yes,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer,115.19,3520.75,Yes
CUST-0074,Male,1,Yes,No,53,Yes,No,Fiber optic,No internet service,No,Month-to-month,No,Bank transfer,103.03,5789.33,Yes
CUST-0075,Female,1,No,No,34,Yes,No,Fiber optic,No,Yes,One year,Yes,Bank transfer,88.64,2951.8,No
CUST-0076,Female,0,No,Yes,22,Yes,Yes,DSL,Yes,No,Month-to-month,Yes,Electronic check,47.05,975.52,Yes
CUST-0077,Female,1,Yes,No,67,Yes,Yes,No,Yes,No,Two year,No,Electronic check,34.52,2503.06,No
CUST-0078,Male,0,Yes,No,6,Yes,Yes,DSL,No,No,Two year,No,Electronic check,110.14,718.09,No
CUST-0079,Female,0,Yes,No,27,Yes,No,DSL,No,No,Month-to-month,No,Bank transfer,60.31,1627.58,Yes
CUST-0080,Male,0,Yes,Yes,10,Yes,No,No,No internet service,Yes,One year,No,Mailed check,45.88,413.52,No
CUST-0081,Female,1,Yes,Yes,48,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,Credit card,65.09,2880.49,Yes
CUST-0082,Male,0,No,No,70,Yes,Yes,DSL,No,Yes,One year,Yes,Electronic check,109.78,7796.84,No
CUST-0083,Female,0,Yes,No,59,Yes,No phone service,No,Yes,Yes,Month-to-month,Yes,Mailed check,56.71,3027.21,No
CUST-0084,Male,0,No,No,59,Yes,No,Fiber optic,No internet service,No,One year,No,Bank transfer,74.26,4291.01,No
CUST-0085,Male,0,Yes,No,2,Yes,No phone service,No,No,Yes,Month-to-month,No,Electronic check,98.3,188.87,Yes
CUST-0086,Female,0,No,Yes,29,Yes,Yes,DSL,No internet service,No internet service,Month-to-month,Yes,Bank transfer,60.71,1836.07,Yes
CUST-0087,Male,0,No,No,68,Yes,No,Fiber optic,Yes,Yes,Month-to-month,Yes,Mailed check,41.35,2561.88,No
CUST-0088,Female,0,No,No,65,Yes,No phone service,Fiber optic,No internet service,Yes,Month-to-month,Yes,Electronic check,117.45,7617.04,Yes
CUST-0089,Female,0,No,No,26,Yes,No,No,No internet service,No,One year,Yes,Electronic check,113.66,3001.92,No
CUST-0090,Female,0,No,No,10,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,Electronic check,102.35,1047.51,Yes
CUST-0091,Female,0,No,No,53,Yes,No,DSL,No internet service,Yes,Month-to-month,Yes,Electronic check,86.84,4515.22,Yes
CUST-0092,Female,0,Yes,Yes,59,Yes,No phone service,DSL,Yes,No,Two year,No,Mailed check,47.49,2692.28,No
CUST-0093,Female,0,No,No,22,Yes,Yes,DSL,No,No internet service,Two year,Yes,Electronic check,109.34,2493.28,No
CUST-0094,Female,1,Yes,Yes,51,Yes,No,No,Yes,No internet service,Two year,Yes,Credit card,45.56,2485.08,Yes
CUST-0095,Female,0,No,No,48,Yes,Yes,Fiber optic,Yes,No,Two year,Yes,Credit card,98.08,4890.14,No
CUST-0096,Female,0,No,No,21,Yes,Yes,Fiber optic,No,Yes,Month-to-month,Yes,Bank transfer,109.83,2505.75,No
CUST-0097,Female,0,Yes,No,22,Yes,No phone service,Fiber optic,Yes,No internet service,Month-to-month,Yes,Electronic check,78.3,1797.45,No
CUST-0098,Female,0,No,No,30,Yes,No phone service,DSL,No,No internet service,One year,Yes,Credit card,98.31,3105.39,No
CUST-0099,Male,0,Yes,No,25,Yes,Yes,Fiber optic,No,Yes,Two year,Yes,Credit card,97.17,2267.9,Yes
CUST-0100,Male,0,Yes,No,28,Yes,No,DSL,Yes,No,Two year,No,Credit card,37.32,1028.14,No
CUST-0101,Female,0,Yes,No,65,Yes,No phone service,Fiber optic,No internet service,No internet service,Month-to-month,Yes,Mailed check,84.79,5494.88,Yes
CUST-0102,Female,0,Yes,Yes,45,Yes,No,DSL,No internet service,Yes,Month-to-month,No,Electronic check,27.35,1170.76,No
CUST-0103,Female,0,No,No,68,Yes,No,Fiber optic,No,Yes,Month-to-month,No,Mailed check,68.79,4704.42,No
CUST-0104,Female,0,No,No,7,No,No,No,No internet service,No internet service,One year,No,Mailed check,34.22,229.52,Yes
CUST-0105,Female,0,Yes,No,49,Yes,Yes,No,No internet service,No,One year,Yes,Credit card,59.63,3031.44,No
CUST-0106,Female,0,No,No,9,Yes,No,DSL,Yes,No internet service,Month-to-month,Yes,Credit card,101.3,906.28,Yes
CUST-0107,Female,0,No,No,36,Yes,Yes,DSL,No,Yes,Month-to-month,Yes,Bank transfer,116.72,4167.3,No
CUST-0108,Female,0,Yes,Yes,1,Yes,Yes,Fiber optic,No,No internet service,One year,Yes,Electronic check,49.8,54.62,No
CUST-0109,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,One year,Yes,Electronic check,71.2,696.68,Yes
CUST-0110,Female,0,Yes,Yes,36,Yes,No,No,No internet service,Yes,Month-to-month,Yes,Credit card,69.13,2420.14,Yes
CUST-0111,Male,0,Yes,Yes,46,Yes,No,Fiber optic,No,No,Two year,Yes,Credit card,113.44,5028.93,No
CUST-0112,Female,0,No,Yes,32,Yes,No,DSL,No internet service,No internet service,One year,Yes,Electronic check,65.86,2273.91,No
CUST-0113,Female,0,No,No,32,Yes,Yes,DSL,No,No internet service,Two year,Yes,Bank transfer,87.91,2811.28,No
CUST-0114,Male,1,No,No,6,Yes,No,DSL,No,No,Two year,Yes,Credit card,110.18,674.3,No
CUST-0115,Female,1,Yes,Yes,48,Yes,No,DSL,No,No internet service,Month-to-month,No,Bank transfer,55.34,2486.75,Yes
CUST-0116,Male,0,Yes,No,38,No,Yes,DSL,No,No,Month-to-month,Yes,Mailed check,108.21,4145.65,Yes
CUST-0117,Female,0,No,No,17,Yes,No phone service,No,No internet service,No internet service,One year,Yes,Credit card,109.75,1781.66,No
CUST-0118,Female,0,No,Yes,27,Yes,No phone service,No,No internet service,No,Month-to-month,Yes,Mailed check,111.07,3137.22,No
CUST-0119,Male,0,No,No,54,Yes,Yes,DSL,No internet service,No,Two year,No,Credit card,45.04,2593.91,No
CUST-0120,Female,0,No,No,50,Yes,No phone service,Fiber optic,No internet service,Yes,One year,Yes,Mailed check,58.04,3026.68,No
CUST-0121,Male,0,Yes,No,35,Yes,Yes,DSL,Yes,Yes,Two year,Yes,Credit card,105.04,3845.69,No
CUST-0122,Female,0,No,No,25,Yes,No,No,No,No,Month-to-month,No,Bank transfer,53.92,1351.36,No
CUST-0123,Male,0,Yes,No,28,Yes,No,DSL,No,No internet service,Month-to-month,Yes,Bank transfer,78.03,2277.53,Yes
CUST-0124,Male,0,Yes,No,15,Yes,No phone service,No,No,No internet service,One year,No,Bank transfer,29.81,440.24,Yes
CUST-0125,Female,0,No,No,4,Yes,No,No,Yes,No internet service,Month-to-month,No,Mailed check,23.63,97.38,Yes
CUST-0126,Female,0,No,No,27,Yes,No phone service,DSL,No internet service,No,One year,No,Bank transfer,59.2,1521.37,No
CUST-0127,Male,0,No,Yes,26,Yes,No phone service,DSL,No,No,Two year,No,Mailed check,75.89,1803.35,No
CUST-0128,Female,0,Yes,No,19,Yes,No,Fiber optic,No internet service,No,Month-to-month,Yes,Credit card,57.27,1069.3,Yes
CUST-0129,Female,0,No,No,17,Yes,No,No,No internet service,No,One year,No,Mailed check,75.77,1278.24,Yes
CUST-0130,Female,0,No,Yes,43,Yes,No phone service,Fiber optic,Yes,Yes,Month-to-month,No,Credit card,69.51,2843.31,No
CUST-0131,Male,1,Yes,Yes,41,Yes,No,DSL,Yes,No,Month-to-month,Yes,Electronic check,86.57,3711.02,No
CUST-0132,Male,0,No,No,42,Yes,Yes,No,No internet service,No internet service,Two year,Yes,Electronic check,82.95,3186.76,No
CUST-0133,Male,0,Yes,No,50,No,No,Fiber optic,No,Yes,Two year,Yes,Electronic check,60.42,2853.48,No
CUST-0134,Male,0,No,No,40,Yes,No,Fiber optic,No,No internet service,Month-to-month,No,Mailed check,60.5,2540.31,No
CUST-0135,Male,0,Yes,No,39,Yes,Yes,Fiber optic,Yes,No,Two year,Yes,Electronic check,32.08,1235.39,No
CUST-0136,Male,0,No,Yes,23,Yes,No,DSL,Yes,Yes,Month-to-month,No,Electronic check,69.32,1659.82,Yes
CUST-0137,Male,0,No,No,52,Yes,No,DSL,Yes,No,Month-to-month,No,Electronic check,76.72,4043.29,No
CUST-0138,Male,0,Yes,Yes,47,Yes,No phone service,DSL,Yes,Yes,Month-to-month,Yes,Credit card,65.65,3363.69,Yes
CUST-0139,Male,0,Yes,No,63,Yes,No,No,Yes,No internet service,Two year,Yes,Bank transfer,50.57,3248.22,No
CUST-0140,Female,0,No,No,69,Yes,No,DSL,Yes,No,Month-to-month,Yes,Mailed check,90.16,5617.44,No
CUST-0141,Male,0,Yes,No,43,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,25.47,1062.98,No
CUST-0142,Female,0,Yes,No,48,Yes,No phone service,Fiber optic,No,Yes,One year,Yes,Credit card,109.44,4878.11,No
CUST-0143,Female,0,Yes,No,34,No,No phone service,Fiber optic,Yes,Yes,One year,Yes,Bank transfer,20.06,739.96,No
CUST-0144,Female,0,Yes,No,40,Yes,No phone service,DSL,Yes,No,Month-to-month,No,Bank transfer,114.24,4207.7,No
CUST-0145,Male,1,No,No,61,Yes,No,Fiber optic,No,Yes,Month-to-month,No,Bank transfer,64.24,3830.63,Yes
CUST-0146,Male,0,No,No,50,Yes,No phone service,DSL,No,No,Month-to-month,Yes,Credit card,59.27,2801.16,No
CUST-0147,Male,0,Yes,No,67,Yes,Yes,No,No internet service,Yes,One year,No,Electronic check,43.64,3126.63,No
CUST-0148,Male,0,Yes,No,62,Yes,No phone service,Fiber optic,Yes,No internet service,One year,No,Bank transfer,19.01,1133.49,No
CUST-0149,Female,0,Yes,No,58,Yes,Yes,DSL,Yes,Yes,One year,No,Credit card,45.48,2897.35,No
CUST-0150,Male,0,Yes,No,33,Yes,No phone service,Fiber optic,Yes,No internet service,One year,No,Credit card,28.94,866.89,No
CUST-0151,Male,0,No,Yes,16,Yes,No phone service,Fiber optic,Yes,Yes,Month-to-month,No,Mailed check,83.98,1243.78,Yes
CUST-0152,Male,0,No,No,48,Yes,Yes,DSL,No internet service,Yes,Two year,No,Credit card,49.91,2263.74,No
CUST-0153,Male,0,Yes,No,10,Yes,No phone service,Fiber optic,No,No,One year,Yes,Bank transfer,94.72,1006.14,No
CUST-0154,Male,0,Yes,Yes,38,Yes,No phone service,Fiber optic,No,Yes,Month-to-month,Yes,Bank transfer,38.69,1581.52,Yes
CUST-0155,Female,0,Yes,Yes,19,Yes,No phone service,Fiber optic,Yes,Yes,Month-to-month,Yes,Credit card,108.02,1876.47,Yes
CUST-0156,Male,0,No,Yes,36,Yes,No,Fiber optic,Yes,No internet service,Two year,No,Bank transfer,70.3,2294.15,Yes
CUST-0157,Female,0,Yes,No,59,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card,29.45,1822.54,No
CUST-0158,Male,0,No,No,63,Yes,No phone service,Fiber optic,No internet service,No,Month-to-month,Yes,Bank transfer,58.08,3390.72,No
CUST-0159,Female,0,Yes,No,46,Yes,Yes,Fiber optic,No internet service,No internet service,One year,Yes,Mailed check,38.68,1648.68,No
CUST-0160,Male,0,No,No,3,Yes,Yes,DSL,No,No,Month-to-month,No,Electronic check,37.97,103.03,Yes
CUST-0161,Male,1,Yes,No,65,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,68.64,4059.88,No
CUST-0162,Female,0,No,No,8,Yes,No phone service,DSL,Yes,No,One year,No,Mailed check,85.19,649.31,No
CUST-0163,Female,0,Yes,No,51,Yes,No phone service,DSL,Yes,No,One year,Yes,Electronic check,109.16,5082.82,No
CUST-0164,Female,0,Yes,No,6,Yes,Yes,DSL,Yes,No internet service,Two year,Yes,Bank transfer,68.22,398.59,No
CUST-0165,Male,0,Yes,No,39,Yes,No,No,No internet service,Yes,Month-to-month,Yes,Electronic check,114.58,4766.03,Yes
CUST-0166,Female,0,No,No,60,Yes,Yes,DSL,No,No,Month-to-month,No,Credit card,112.16,6495.84,No
CUST-0167,Male,0,Yes,Yes,28,Yes,No,DSL,No,No internet service,Month-to-month,No,Electronic check,104.51,3059.62,Yes
CUST-0168,Male,0,No,No,54,Yes,Yes,DSL,No internet service,No,Month-to-month,No,Mailed check,68.0,3373.77,Yes
CUST-0169,Female,0,No,No,37,Yes,Yes,Fiber optic,Yes,Yes,Month-to-month,No,Electronic check,32.09,1225.18,Yes
CUST-0170,Female,0,Yes,No,9,No,Yes,DSL,No,No internet service,Month-to-month,No,Bank transfer,39.79,344.99,Yes
CUST-0171,Male,1,Yes,Yes,56,Yes,No phone service,No,No,No internet service,Month-to-month,Yes,Mailed check,82.77,4866.65,Yes
CUST-0172,Male,0,Yes,Yes,59,Yes,No,No,No internet service,Yes,Month-to-month,Yes,Credit card,60.18,3292.31,No
CUST-0173,Female,0,No,No,2,Yes,No,Fiber optic,Yes,No internet service,One year,No,Bank transfer,32.68,70.56,No
CUST-0174,Female,0,Yes,Yes,61,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,65.9,3812.94,Yes
CUST-0175,Female,1,No,No,58,Yes,No phone service,No,Yes,No internet service,Month-to-month,Yes,Credit card,19.74,1111.29,No
CUST-0176,Male,0,No,Yes,60,Yes,No phone service,Fiber optic,No,No internet service,One year,No,Bank transfer,91.39,5977.1,Yes
CUST-0177,Male,0,Yes,No,40,Yes,No,DSL,No internet service,Yes,Month-to-month,Yes,Credit card,25.36,1030.32,No
CUST-0178,Male,1,Yes,No,36,Yes,No phone service,Fiber optic,Yes,Yes,One year,No,Electronic check,80.91,2834.56,No
CUST-0179,Male,1,Yes,No,37,Yes,No,DSL,No internet service,No internet service,Month-to-month,Yes,Electronic check,97.3,3923.82,Yes
CUST-0180,Male,0,Yes,No,18,Yes,No,DSL,No,No internet service,Month-to-month,No,Credit card,31.26,543.45,No
CUST-0181,Male,0,Yes,Yes,63,Yes,No,No,No internet service,Yes,Month-to-month,No,Electronic check,69.86,4044.57,No
CUST-0182,Female,0,Yes,Yes,22,No,No phone service,Fiber optic,No internet service,Yes,Month-to-month,Yes,Credit card,95.91,2319.69,Yes
CUST-0183,Male,0,No,No,11,Yes,No,No,No internet service,No internet service,One year,Yes,Bank transfer,44.06,462.16,Yes
CUST-0184,Male,1,No,No,58,Yes,No,No,No,No internet service,Two year,No,Mailed check,34.29,2128.54,No
CUST-0185,Male,0,No,No,57,Yes,Yes,DSL,Yes,No internet service,Month-to-month,No,Credit card,51.68,2748.71,Yes
CUST-0186,Female,0,Yes,No,4,Yes,No,No,No internet service,Yes,Month-to-month,Yes,Mailed check,73.47,307.48,No
CUST-0187,Male,0,No,No,7,Yes,No,Fiber optic,Yes,No internet service,One year,No,Mailed check,75.53,531.3,No
CUST-0188,Male,0,No,No,61,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card,31.09,2078.9,Yes
CUST-0189,Female,0,No,No,54,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,63.76,3479.42,No
CUST-0190,Male,0,No,Yes,68,Yes,No phone service,DSL,No internet service,No internet service,Month-to-month,No,Bank transfer,44.83,2758.85,No
CUST-0191,Male,0,No,No,1,Yes,No,Fiber optic,No internet service,Yes,Two year,Yes,Mailed check,102.2,104.32,No
CUST-0192,Male,0,Yes,No,55,No,No phone service,No,No internet service,No,Month-to-month,Yes,Bank transfer,49.36,2522.22,No
CUST-0193,Male,0,Yes,No,3,Yes,No phone service,DSL,No internet service,Yes,Month-to-month,No,Mailed check,101.87,323.86,No
CUST-0194,Male,0,No,Yes,38,Yes,Yes,No,No internet service,No internet service,Two year,Yes,Credit card,60.86,2477.61,No
CUST-0195,Female,0,No,No,1,Yes,No phone service,Fiber optic,No internet service,No,One year,Yes,Electronic check,90.66,90.34,Yes
CUST-0196,Female,0,No,No,38,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer,69.01,2770.92,No
CUST-0197,Female,0,Yes,No,29,Yes,Yes,No,No,No internet service,One year,Yes,Mailed check,80.2,2160.72,No
CUST-0198,Male,0,Yes,No,5,Yes,No,DSL,No,No internet service,One year,No,Credit card,57.54,287.24,No
CUST-0199,Male,0,No,No,21,Yes,No,No,Yes,No internet service,Month-to-month,Yes,Credit card,94.82,1948.98,Yes
CUST-0200,Male,0,Yes,No,71,Yes,Yes,DSL,Yes,Yes,One year,No,Mailed check,60.52,4392.58,No
CUST-0201,Female,0,Yes,Yes,67,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,Mailed check,63.75,3882.12,No
CUST-0202,Male,0,No,No,47,Yes,Yes,No,Yes,Yes,Two year,No,Mailed check,69.77,3444.54,No
CUST-0203,Male,0,Yes,Yes,35,Yes,No,Fiber optic,Yes,No internet service,Two year,Yes,Electronic check,101.18,3243.21,No
CUST-0204,Female,0,Yes,No,68,Yes,Yes,Fiber optic,No internet service,No internet service,Month-to-month,No,Mailed check,83.94,5886.55,Yes
CUST-0205,Male,1,No,No,69,Yes,No phone service,No,No internet service,Yes,Month-to-month,Yes,Mailed check,52.92,3299.81,Yes
CUST-0206,Female,0,Yes,Yes,1,Yes,No,DSL,Yes,No,Month-to-month,Yes,Electronic check,85.03,90.67,No
CUST-0207,Female,0,Yes,No,68,Yes,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,Credit card,82.24,5228.48,Yes
CUST-0208,Female,0,No,Yes,12,Yes,No,Fiber optic,No,No,Two year,Yes,Mailed check,111.1,1337.33,No
CUST-0209,Male,0,Yes,No,60,Yes,No,No,Yes,No internet service,Month-to-month,No,Bank transfer,102.14,5836.07,No
CUST-0210,Male,0,Yes,No,27,Yes,No,No,No internet service,No internet service,Month-to-month,No,Credit card,82.74,2333.46,Yes
CUST-0211,Male,0,No,No,56,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer,52.15,2816.05,No
CUST-0212,Male,0,No,Yes,23,Yes,No phone service,No,No,Yes,Two year,No,Mailed check,95.96,2306.23,No
